,Company,TypeName,Inches,ScreenResolution,CpuVenderName,CpuType,CpuSpeed,Ram,Memory,GpuName,GpuType,OpSys,Weight,Price_euros
158,Dell,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,256GB SSD,Intel,UHD Graphics,Windows 10,1.56kg,1049.0
159,Toshiba,Notebook,15.6,1366x768,Intel,Core i3 6006U,2.2GHz,4GB,500GB HDD,Intel,HD Graphics,Windows 10,2.1kg,447.0
160,Asus,Notebook,15.6,1366x768,AMD,A9-Series 9420,3GHz,4GB,1TB HDD,AMD,Radeon R5,Windows 10,2.03kg,403.0
161,Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,4GB,256GB SSD,Nvidia,GeForce,Windows 10,3kg,805.0
162,Dell,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,256GB SSD,AMD,Radeon,Windows 10,2.13kg,728.0
163,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,16GB,256GB SSD,Nvidia,GeForce GTX 1050,Windows 10,2.5kg,1079.0
164,Acer,Notebook,15.6,1366x768,Intel,Celeron Dual Core N3350,1.1GHz,4GB,1TB HDD,Intel,HD Graphics,Windows 10,2.1kg,348.0
165,MSI,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia,GeForce GTX,Windows 10,2.4kg,1799.0
166,Acer,Notebook,15.6,1366x768,Intel,Pentium Quad Core N4200,1.1GHz,4GB,1TB HDD,Intel,HD Graphics,Windows 10,2.1kg,363.51
167,Dell,Gaming,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia,GeForce GTX,Windows 10,2.56kg,1060.49
168,Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,256GB SSD,Nvidia,GeForce,Windows 10,3kg,854.0
169,HP,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,4GB,500GB HDD,Intel,UHD Graphics,Windows 10,1.49kg,754.0
170,Huawei,Ultrabook,13.0,IPS Panel Full HD 2160x1440,Intel,Core i5 7200U,2.5GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,1.05kg,1349.0
171,HP,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,6GB,2TB HDD,AMD,Radeon,Windows 10,2.71kg,699.0
172,Lenovo,Notebook,15.6,1366x768,AMD,A6-Series 9220,2.9GHz,4GB,500GB HDD,AMD,Radeon R4,No OS,2.2kg,309.0
173,Toshiba,Notebook,15.6,1366x768,Intel,Core i3 7100U,2.4GHz,4GB,500GB HDD,Intel,HD Graphics,Windows 10,2kg,489.0
174,HP,Notebook,17.3,Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,256GB SSD,Nvidia,GeForce,Windows 10,2.5kg,923.0
175,Dell,Notebook,15.6,1366x768,Intel,Core i3 7100U,2.4GHz,8GB,1TB HDD,Intel,HD Graphics,Windows 10,2.3kg,459.0
176,Acer,Notebook,15.6,1366x768,Intel,Core i3 6006U,2GHz,4GB,128GB SSD,Intel,HD Graphics,Windows 10,2.1kg,449.0
177,MSI,Gaming,18.4,Full HD 1920x1080,Intel,Core i7 6920HQ,2.9GHz,32GB,512GB SSD +  1TB HDD,Nvidia,GTX 980,Windows 10,4.4kg,2799.0
178,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,8GB,128GB SSD +  1TB HDD,AMD,,Windows 10,1.90kg,813.0
179,HP,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel,Core i5 8250U,1.6GHz,8GB,256GB SSD,Intel,UHD Graphics,Windows 10,1.29kg,1499.0
180,Dell,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,16GB,256GB SSD +  2TB HDD,AMD,Radeon,Linux,2.02kg,1049.0
181,Dell,Ultrabook,13.3,Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,256GB SSD,Intel,UHD Graphics,Windows 10,1.23kg,1399.0
182,Lenovo,2 in 1 Convertible,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 8550U,1.8GHz,16GB,512GB SSD,Intel,UHD Graphics,Windows 10,1.4kg,1849.0
183,Toshiba,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5GHz,8GB,128GB SSD,Intel,HD Graphics,Windows 10,2.0kg,793.0
184,Xiaomi,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,256GB SSD,Nvidia,GeForce,No OS,1.95kg,1199.0
185,Dell,Notebook,17.3,Full HD / Touchscreen 1920x1080,Intel,Core i7 8550U,1.8GHz,16GB,512GB SSD,Nvidia,GeForce,Windows 10,2.77kg,1549.0
186,Dell,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 7700HQ,2.8GHz,16GB,512GB SSD,Nvidia,GeForce GTX,Windows 10,2.06kg,2397.0
187,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 7300HQ,2.5GHz,8GB,256GB SSD,Nvidia,GeForce GTX,No OS,2.4kg,779.0
188,Acer,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel,Core i5 7Y54,1.2GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,1.12kg,989.0
189,Dell,Notebook,17.3,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,128GB SSD +  1TB HDD,AMD,Radeon,Windows 10,2.8kg,1085.0
190,Lenovo,2 in 1 Convertible,14.0,Touchscreen 2560x1440,Intel,Core i7 7500U,2.7GHz,16GB,1TB SSD,Intel,HD Graphics,Windows 10,1.42kg,2824.0
191,Vero,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel,Celeron Dual Core N3350,1.1GHz,4GB,32GB Flash Storage,Intel,HD Graphics,Windows 10,1.3kg,260.0
192,Xiaomi,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,8GB,256GB SSD,Nvidia,GeForce,No OS,1.3kg,999.9
193,Lenovo,Notebook,17.3,1600x900,Intel,Core i5 8250U,1.6GHz,8GB,256GB SSD,Nvidia,GeForce,No OS,2.8kg,698.0
194,Dell,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,1TB HDD,Intel,UHD Graphics,Windows 10,1.62kg,839.0
195,HP,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,1TB HDD,Nvidia,GeForce,Windows 10,2.5kg,914.0
196,Razer,Gaming,17.3,4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 7820HK,2.9GHz,32GB,1TB SSD,Nvidia,GeForce GTX,Windows 10,3.49kg,6099.0
197,HP,Notebook,13.3,Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,512GB SSD,Intel,UHD Graphics,Windows 10,1.49kg,959.0
198,HP,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia,GeForce GTX,Windows 10,3.35kg,1379.0
199,HP,Notebook,17.3,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,256GB SSD,Nvidia,GeForce 930MX,Windows 10,2.5kg,1045.0
200,Dell,Gaming,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel,Core i7 7700HQ,2.8GHz,16GB,512GB SSD +  1TB HDD,Nvidia,GeForce GTX,Windows 10,2.65kg,1845.0
201,Lenovo,Notebook,15.6,1366x768,Intel,Core i5 6200U,2.3GHz,4GB,128GB SSD,Intel,HD Graphics,Windows 10,2.1kg,493.0
202,Acer,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7GHz,8GB,1TB HDD,Nvidia,GeForce,Windows 10,2.23kg,742.0
203,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,16GB,512GB SSD +  1TB HDD,Nvidia,GeForce GTX,Windows 10,3.2kg,1749.0
204,Dell,Workstation,15.6,4K Ultra HD 3840x2160,Intel,Xeon E3-1505M V6,3GHz,16GB,256GB SSD +  1TB HDD,Nvidia,Quadro,Windows 10,2.8kg,3055.0
205,Lenovo,Gaming,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,16GB,512GB SSD,Nvidia,GeForce GTX,No OS,2.4kg,1398.0
206,Dell,Notebook,15.6,Touchscreen 1366x768,Intel,Core i3 7100U,2.4GHz,6GB,1TB HDD,Intel,HD Graphics,Windows 10,2.3kg,439.0
207,Dell,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 8550U,1.8GHz,8GB,256GB SSD,Intel,UHD Graphics,Windows 10,1.21kg,1949.0
208,Dell,Ultrabook,13.3,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,256GB SSD,Intel,UHD Graphics,Windows 10,1.2kg,1449.0
209,Lenovo,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,2.2kg,597.0
210,Acer,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,8GB,1TB HDD,Nvidia,GeForce GTX,Linux,2.4kg,779.0
211,Asus,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia,GeForce GTX,Windows 10,2.9kg,1407.0
212,HP,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2GHz,4GB,500GB HDD,Intel,HD Graphics,No OS,2.1kg,349.0
213,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,8GB,256GB SSD,Intel,HD Graphics,No OS,2.2kg,549.0
214,Huawei,Ultrabook,13.0,IPS Panel Full HD 2160x1440,Intel,Core i7 7500U,2.7GHz,8GB,512GB SSD,Intel,HD Graphics,Windows 10,1.05kg,1499.0
215,Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,256GB SSD,AMD,Radeon,Windows 10,1.4kg,931.88
216,Lenovo,Notebook,17.3,1600x900,Intel,Core i5 7200U,2.5GHz,8GB,1TB HDD,Nvidia,GeForce GTX,No OS,2.8kg,589.0
217,HP,Notebook,14.0,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,256GB SSD,Nvidia,GeForce,Windows 10,1.63kg,1031.0
218,Dell,Ultrabook,14.0,Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,256GB SSD,Intel,UHD Graphics,Windows 10,1.6kg,1149.0
219,Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel,Core i7 8550U,1.8GHz,16GB,512GB SSD,Intel,UHD Graphics,Windows 10,1.62kg,1279.0
220,Dell,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,256GB SSD,AMD,Radeon,Linux,2.2kg,677.35
221,Lenovo,2 in 1 Convertible,14.0,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,256GB SSD,Intel,UHD Graphics,Windows 10,1.74kg,899.0
222,Toshiba,Ultrabook,13.3,Full HD 1920x1080,Intel,Core i7 6500U,2.5GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,1.2kg,1363.0
223,HP,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,1TB HDD,Intel,UHD Graphics,Windows 10,2.1kg,794.0
224,Dell,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia,GeForce GTX,Windows 10,4.42kg,2456.34
225,Acer,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7GHz,8GB,256GB SSD,Nvidia,GeForce,Windows 10,2.2kg,832.0
226,Dell,Notebook,15.6,Full HD / Touchscreen 1920x1080,Intel,Core i7 7500U,2.7GHz,16GB,1TB HDD,AMD,Radeon R7,Windows 10,2.3kg,859.01
227,Asus,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,8GB,256GB SSD,Nvidia,GeForce 920MX,Windows 10,2kg,769.0
228,Asus,Notebook,17.3,Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,8GB,256GB SSD +  500GB HDD,Nvidia,GeForce GTX,Windows 10,2.69kg,891.0
229,HP,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7GHz,8GB,1TB HDD,AMD,FirePro W4190M,Windows 10,1.9kg,1269.0
230,Asus,Notebook,15.6,1366x768,Intel,Core i3 7100U,2.4GHz,4GB,1TB HDD,Intel,HD Graphics,Windows 10,2.37kg,398.99
231,HP,Notebook,15.6,1366x768,AMD,E-Series 9000e,1.5GHz,4GB,500GB HDD,AMD,Radeon,Windows 10,2.1kg,330.0
232,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia,GeForce GTX,Windows 10,3.2kg,1499.0
233,Dell,Notebook,14.0,Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,1.6kg,859.0
234,Acer,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i5 6200U,2.3GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,1.6kg,689.0
235,Dell,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7GHz,16GB,256GB SSD,AMD,Radeon R7,Linux,2.36kg,899.0
236,Acer,Notebook,15.6,1366x768,Intel,Core i3 6006U,2GHz,4GB,1TB HDD,Intel,HD Graphics,Linux,2.1kg,390.0
237,Asus,Notebook,15.6,Full HD 1920x1080,AMD,A10-Series A10-9620P,2.5GHz,4GB,128GB SSD +  1TB HDD,AMD,Radeon R5,Windows 10,2.2kg,575.0
238,Asus,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7820HK,2.9GHz,32GB,512GB SSD +  1TB HDD,Nvidia,GeForce GTX,Windows 10,4.7kg,3890.0
239,Acer,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 7300HQ,2.5GHz,8GB,256GB SSD,Nvidia,GeForce GTX,Windows 10,2.5kg,846.0
240,Lenovo,Notebook,15.6,1366x768,Intel,Core i3 6006U,2GHz,8GB,128GB SSD,Intel,HD Graphics,Windows 10,2.2kg,589.0
241,Asus,Notebook,17.3,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia,GeForce,Windows 10,2.1kg,1145.0
242,Asus,Notebook,17.3,Full HD 1920x1080,Intel,Core i7 7500U,2.7GHz,8GB,128GB SSD +  1TB HDD,Nvidia,GeForce GTX,No OS,2.69kg,889.0
243,Dell,Gaming,15.6,Full HD 1920x1080,Intel,Core i5 7300HQ,2.5GHz,8GB,256GB SSD,Nvidia,GeForce GTX,Windows 10,2.56kg,879.0
244,Lenovo,2 in 1 Convertible,13.9,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i7 7500U,2.7GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,1.38kg,1079.0
245,Dell,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,128GB SSD +  2TB HDD,AMD,Radeon,Windows 10,2.2kg,985.0
246,HP,Notebook,15.6,Touchscreen 1366x768,Intel,Core i5 7200U,2.5GHz,8GB,1TB HDD,Intel,HD Graphics,Windows 10,2.04kg,559.0
247,Asus,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7820HK,2.9GHz,16GB,256GB SSD,Nvidia,GeForce GTX,Windows 10,3.6kg,2999.0
248,HP,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,4GB,500GB HDD,Intel,UHD Graphics,Windows 10,1.49kg,675.0
249,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel,Core i5,3.1GHz,8GB,512GB SSD,Intel,Iris Plus Graphics,macOS,1.37kg,2040.0
250,Dell,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,1TB HDD,Intel,UHD Graphics,Windows 10,2.08kg,819.0
251,Asus,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia,GeForce GTX,Windows 10,4.3kg,1799.0
252,Asus,Notebook,15.6,1366x768,AMD,A9-Series 9420,3GHz,4GB,1TB HDD,AMD,Radeon R5,Windows 10,1.68kg,469.0
253,Lenovo,2 in 1 Convertible,13.9,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,512GB SSD,Intel,UHD Graphics,Windows 10,1.37kg,1849.0
254,Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel,Core i3 7130U,2.7GHz,4GB,256GB SSD,Nvidia,GeForce,Windows 10,3kg,702.0
255,Dell,Ultrabook,13.3,Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,256GB SSD,Intel,UHD Graphics,Windows 10,1.41kg,949.0
256,HP,Notebook,15.6,1366x768,AMD,A6-Series A6-9220,2.5GHz,8GB,128GB SSD,AMD,Radeon R4,Windows 10,1.91kg,445.9
257,HP,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,16GB,1TB HDD,Nvidia,GeForce,Windows 10,2.9kg,1059.0
258,MSI,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,16GB,512GB SSD +  1TB HDD,Nvidia,GeForce GTX,Windows 10,4.14kg,2499.0
259,Lenovo,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i7 7700HQ,2.8GHz,8GB,512GB SSD,Nvidia,GeForce GTX,Windows 10,2kg,1699.0
260,Dell,Notebook,17.3,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,128GB SSD +  1TB HDD,AMD,Radeon,Windows 10,2.8kg,1142.0
261,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2GHz,4GB,256GB SSD,Intel,HD Graphics,No OS,2.2kg,444.0
262,HP,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,4GB,500GB HDD,Intel,HD Graphics,Windows 10,2.1kg,722.0
263,Dell,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,4GB,1TB HDD,Intel,HD Graphics,Windows 10,2.18kg,657.0
264,Dell,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,8GB,1TB HDD,AMD,Radeon R5,Windows 10,2.24kg,565.0
265,Dell,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,256GB SSD,Intel,UHD Graphics,Windows 10,2.67kg,799.0
266,Asus,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,512GB SSD +  512GB SSD,Intel,UHD Graphics,Windows 10,1.1kg,1499.0
267,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,4GB,1TB HDD,Intel,HD Graphics,No OS,2.2kg,467.0
268,HP,Notebook,17.3,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,1TB HDD,Nvidia,GeForce 930MX,Windows 10,2.5kg,1018.0
269,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,256GB SSD,Intel,UHD Graphics,Windows 10,2.05kg,880.0
270,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel,Core i5,2.9GHz,8GB,512GB SSD,Intel,Iris Graphics,macOS,1.37kg,1958.9
271,Asus,Gaming,17.3,Full HD 1920x1080,AMD,Ryzen 1700,3GHz,16GB,256GB SSD +  1TB HDD,AMD,Radeon RX,Windows 10,3.2kg,1549.0
272,Dell,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,256GB SSD,AMD,Radeon,Linux,2.14kg,735.07
273,Lenovo,2 in 1 Convertible,14.0,Touchscreen 2560x1440,Intel,Core i7 6600U,2.6GHz,16GB,512GB SSD,Intel,HD Graphics,Windows 10,1.36kg,2499.0
274,Toshiba,Notebook,15.6,1366x768,Intel,Core i7 6500U,2.5GHz,8GB,500GB HDD,Nvidia,GeForce,Windows 10,2.2kg,812.0
275,Dell,Notebook,15.6,1366x768,Intel,Core i7 7500U,2.7GHz,12GB,1TB HDD,Intel,HD Graphics,Windows 10,2.3kg,713.07
276,Dell,Notebook,17.3,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,128GB SSD +  1TB HDD,AMD,Radeon,Linux,2.8kg,1099.0
277,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,1TB HDD,Nvidia,GeForce,Windows 10,2.2kg,745.0
278,Lenovo,Notebook,17.3,1600x900,Intel,Core i3 6006U,2GHz,4GB,1TB HDD,Intel,HD Graphics,Windows 10,2.8kg,489.0
279,Lenovo,Notebook,17.3,Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,2TB HDD,Nvidia,GeForce,No OS,2.8kg,849.0
280,Lenovo,Notebook,17.3,1600x900,Intel,Core i7 7500U,2.7GHz,6GB,128GB SSD +  1TB HDD,Nvidia,GeForce,Windows 10,2.8kg,859.0
281,Dell,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2.0GHz,4GB,1TB HDD,AMD,Radeon R5,Linux,2.25kg,428.0
282,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 7300HQ,2.5GHz,8GB,256GB SSD,Nvidia,GeForce GTX,Windows 10,2.5kg,829.0
283,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,6GB,256GB SSD,Intel,HD Graphics,Windows 10,2.2kg,579.0
284,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,1.8GHz,8GB,256GB SSD,Nvidia,GeForce,Windows 10,3kg,951.0
285,Acer,Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i7 7500U,2.7GHz,12GB,1TB HDD,Intel,HD Graphics,Windows 10,2.15kg,659.0
286,Lenovo,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,2.7GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,1.95kg,1097.0
287,Asus,Ultrabook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,8GB,256GB SSD,Nvidia,GeForce,Windows 10,1.7kg,977.0
288,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia,GeForce GTX 1050,Windows 10,2.5kg,1179.0
289,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7GHz,8GB,1TB HDD,Nvidia,GeForce,No OS,2.2kg,659.01
290,Acer,Notebook,15.6,1366x768,Intel,Celeron Dual Core 3205U,1.5GHz,2GB,16GB SSD,Intel,HD,Chrome OS,2.19kg,199.0
291,Asus,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,8GB,1TB HDD,Nvidia,GeForce GTX,Windows 10,3kg,1187.0
292,HP,Notebook,17.3,1600x900,Intel,Core i3 6006U,2GHz,8GB,1TB HDD,Intel,HD Graphics,Windows 10,2.54kg,489.0
293,Dell,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,8GB,256GB SSD,Nvidia,GeForce GTX,Windows 10,2kg,1829.0
294,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 8250U,1.6GHz,8GB,256GB SSD,Intel,UHD Graphics,Windows 10,2.05kg,739.0
295,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,8GB,1TB HDD,Nvidia,GeForce GTX,Windows 10,3.2kg,1299.0
296,Acer,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,8GB,256GB SSD,Nvidia,GeForce GTX 1050,Linux,2.5kg,979.0
297,Dell,Workstation,17.3,Full HD 1920x1080,Intel,Core i7 7820HQ,2.9GHz,16GB,256GB SSD,Nvidia,Quadro,Windows 10,3.42kg,2884.86
298,Lenovo,Notebook,15.6,Full HD 1920x1080,AMD,A10-Series 9600P,2.4GHz,6GB,1TB HDD,AMD,Radeon R5,Windows 10,2.4kg,499.0
299,Asus,Ultrabook,15.6,Full HD 1920x1080,Intel,Core i7 7500U,2.7GHz,16GB,512GB SSD,Nvidia,GeForce,Windows 10,1.63kg,1468.0
300,Asus,Notebook,14.0,1366x768,Intel,Core i3 7100U,2.4GHz,4GB,128GB SSD,Intel,HD Graphics,Windows 10,1.3kg,509.0
301,Asus,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia,GeForce GTX,Windows 10,2.9kg,2122.0
302,Lenovo,Notebook,17.3,1600x900,Intel,Core i5 7200U,2.5GHz,6GB,1TB HDD,Nvidia,GeForce GTX,Windows 10,2.8kg,649.0
303,Lenovo,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5GHz,8GB,2TB HDD,Nvidia,GeForce,No OS,2.2kg,549.0
304,Asus,Gaming,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia,GeForce GTX 1050,Windows 10,2.5kg,1265.0
305,Lenovo,Notebook,15.6,1366x768,Intel,Pentium Quad Core N4200,1.1GHz,4GB,1TB HDD,Intel,HD Graphics,No OS,2.2kg,359.99
306,HP,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel,Core i7 7600U,2.8GHz,16GB,256GB SSD,Intel,HD Graphics,Windows 10,1.28kg,1975.0
307,Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 6500U,2.5GHz,8GB,256GB SSD,Nvidia,GeForce,Windows 10,2.2kg,1043.0
308,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia,GeForce,Windows 10,2.3kg,819.0
309,HP,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2GHz,4GB,1TB HDD,Intel,HD Graphics,Windows 10,1.86kg,469.0
310,Lenovo,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,2.5GHz,8GB,256GB SSD,Intel,HD Graphics,Windows 10,1.1kg,999.0
311,Dell,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 8550U,1.8GHz,16GB,1TB SSD,Intel,UHD Graphics,Windows 10,1.21kg,2499.0
